Lon,Lat,RhoLM_in_situ,RhoLM_STP
121.25,31.75,3.2526912373655,3.3667858877325
121.5,31.75,3.2476687400292,3.3610154644856
107,32,3.264010414684,3.3706804015493
107.25,32,3.2641111679908,3.3720587830537
107.5,32,3.2804634230007,3.3917359111092
107.75,32,3.2542654967012,3.3676064084215
108,32,3.2979854802606,3.4160088069953
108.25,32,3.3097209420972,3.4312750415902
108.5,32,3.3041501429055,3.4283867263786
108.75,32,3.2866085758016,3.4126658906874
109,32,3.235286160571,3.3589981983766
109.25,32,3.2299038583404,3.3548344098805
109.5,32,3.2367179635718,3.3605641343088
109.75,32,3.2686880921667,3.3918698524068
110,32,3.2438109869058,3.3653783960072
111.75,32,3.2191134230332,3.3248229446035
112,32,3.2262979914409,3.3306497649365
112.25,32,3.2295119717853,3.3320561580576
112.5,32,3.2256898982798,3.326490055291
112.75,32,3.2271535879034,3.327135607119
113.5,32,3.2270530173831,3.326157551082
113.75,32,3.2155626188347,3.3144462589684
114,32,3.2353907064212,3.3361708449462
114.25,32,3.2380917632442,3.339634883316
114.5,32,3.2422704592465,3.3454102056618
114.75,32,3.2450542880389,3.3492773694717
115,32,3.244916974799,3.3506705237277
115.25,32,3.2410799316312,3.3471265436746
115.5,32,3.2359811884,3.3427842006398
115.75,32,3.2346569700241,3.3423373478132
116,32,3.2404321736629,3.3494549663718
116.25,32,3.248526052824,3.3590923075767
116.5,32,3.2504336732412,3.3624930546522
116.75,32,3.2472404019295,3.3601400005418
117,32,3.2485914151441,3.362713244136
117.25,32,3.2520312086609,3.3666492874418
117.5,32,3.2543115063862,3.3685123880783
117.75,32,3.2511974121036,3.3643788296883
118,32,3.2506177425487,3.3630429139296
118.25,32,3.2474892816468,3.3593682170799
118.5,32,3.2418350395548,3.3532998163969
118.75,32,3.2403754270869,3.351218324717
119,32,3.2399812701628,3.3506658348203
119.25,32,3.2454587548813,3.356320555275
119.5,32,3.2496722487578,3.3612905251921
119.75,32,3.2495427531522,3.3614139143709
120,32,3.2512485995119,3.3635790752343
120.25,32,3.2504965087079,3.3633792468071
120.5,32,3.2485818019976,3.3619628216133
120.75,32,3.249890758887,3.3635972525422
121,32,3.2536891393443,3.3677401141126
121.25,32,3.2586133727538,3.3726690595988
121.5,32,3.2576417897693,3.370563236301
107,32.25,3.2563593863473,3.3635640514878
107.25,32.25,3.2663920389286,3.3748070556389
107.5,32.25,3.254083313161,3.3648699574082
107.75,32.25,3.297255754571,3.4126517471781
108,32.25,3.2759455094546,3.3942935864282
108.25,32.25,3.2805899710452,3.4021465133594
108.5,32.25,3.2526248591305,3.3762822836053
108.75,32.25,3.2802804468644,3.4077232098744
109,32.25,3.2716753216898,3.3997628523295
109.25,32.25,3.2522815490373,3.3781009926623
109.5,32.25,3.2513165834974,3.3776491068394
109.75,32.25,3.2732584403835,3.3970988336083
110,32.25,3.2576702412133,3.3807705565823
111.5,32.25,3.2322685801206,3.3394101452858
112,32.25,3.233325050433,3.3376498746335
112.25,32.25,3.2289904672883,3.3317013307691
112.5,32.25,3.2303896616612,3.3318112670586
112.75,32.25,3.2308904671625,3.3313882867074
113,32.25,3.2174644931804,3.3168632932084
113.75,32.25,3.2203590120795,3.3195019907228
114,32.25,3.2326297264619,3.3335204068434
114.25,32.25,3.2347941477628,3.3363824027221
